LGA,Year,admin1Name,Cases,Cases_SuspectedUnconfirmed,Reports_All,Any_Confirmed_Cases,Source,NumDiagCentres,LabDist,LabTravelTime,TotalPopulation_ByYear,AgriProp_ESA,UrbanProp_ESA,ForestProp_ESA,LGAarea_km2,x,y,PrecipMeanAnnual_2011_2019_CHIRPS,PrecipMeanWettest_2011_2019_CHIRPS,PrecipMeanDriest_2011_2019_CHIRPS,PrecipMonthlyCoefv_2011_2019_CHIRPS,TempMeanAnnual_201119_NOAA,TempMonthlyCoefv_201118_NOAA,CHELSA_TempAnnualMean,CHELSA_TempSeasonality,CHELSA_TempMeanWarmestQ,CHELSA_PrecipTotalAnnual,CHELSA_PrecipSeasonality,CHELSA_PrecipWettestQ,CityTravTime_Mean,HospitalDist_mean_km,HealthFacilityDist_mean_km,TotalPop2015,PopDens2015,TotalUrbanPop2015,TotalRuralPop2015,TotalPop2015_PropUrban,ImprovedHousingPrev_PopWeighted,Cropland_prop_ESA2015,Agri_prop_ESA2015,Urb_prop_ESA2015,Forest_prop_ESA2015,PovertyProp_Mean,PovertyProp_PopWeighted,Hospital_TravelTime,AllHealthFacility_TravelTime
Aba North,2012,Abia,0,0,0,0,WER,2,223.1505735,155.8430328,109979.5159,0.1565656566,0.8434343434,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba North,2013,Abia,1,0,1,1,WER,2,223.1505735,155.8430328,113481.4096,0.1515151515,0.8484848485,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba North,2014,Abia,0,0,0,0,WER,2,223.1505735,155.8430328,118621.8297,0.1515151515,0.8484848485,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba North,2015,Abia,0,0,0,0,WER,2,223.1505735,155.8430328,121575.5682,0.1515151515,0.8484848485,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba North,2016,Abia,0,0,0,0,WER,2,223.1505735,155.8430328,124145.1075,0.101010101,0.898989899,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba North,2017,Abia,0,0,0,0,SitRep_1,3,223.1505735,155.8430328,128421.6134,0.101010101,0.898989899,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba North,2018,Abia,0,0,0,0,SitRep_2,4,159.2409958,126.471405,132692.7056,0.101010101,0.898989899,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba North,2019,Abia,0,2,2,0,SitRep_2,5,159.2409958,126.471405,137664.3934,0.101010101,0.898989899,0,18.68539854,7.37245034,5.11310702,2206.579095,371.3241697,13.60110492,0.6323464161,27.16562678,0.03772805507,25.54761905,102.7333333,27.02380952,2207.809524,65.14285714,993.1904762,0,14.97354955,0.9215254212,167610.2173,9002.134882,167610.2173,0,1,0.7687024484,0.1060606061,0.1515151515,0.8484848485,0,0.334343758,0.3048604007,12.4733429,1.109441757
Aba South,2012,Abia,0,0,0,0,WER,2,223.4224468,157.5680847,460054.6053,0.3004385965,0.6228070175,0.05263157895,43.29821199,7.35213138,5.08321853,2297.660544,382.8917688,17.62946824,0.6229889675,27.16562678,0.03772805507,25.54615385,101.8980769,27.00192308,2214.576923,65,998.4615385,0.3653846154,12.16003172,1.383540787,599415.5796,13894.87638,599415.5796,0,1,0.7407657767,0.1513157895,0.2828947368,0.649122807,0.04824561404,0.3138283113,0.259070491,12.3152132,1.658803225
Aba South,2013,Abia,0,0,0,0,WER,2,223.4224468,157.5680847,473040.9822,0.2960526316,0.6293859649,0.05043859649,43.29821199,7.35213138,5.08321853,2297.660544,382.8917688,17.62946824,0.6229889675,27.16562678,0.03772805507,25.54615385,101.8980769,27.00192308,2214.576923,65,998.4615385,0.3653846154,12.16003172,1.383540787,599415.5796,13894.87638,599415.5796,0,1,0.7407657767,0.1513157895,0.2828947368,0.649122807,0.04824561404,0.3138283113,0.259070491,12.3152132,1.658803225
